collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition
"Armstrong Natural Creations",TP038,1318040.78,Oak,,,,"Vinyl Flooring",Walnut,"Roan Oak Driftwood Gray",,,
Jungle,jua107,972002.2500000001,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Armstrong Simpurity",K822-101,561533.8500000001,Biege,,,,"Vinyl Flooring",Biege,"Light Coir",,,
Chimes,AZ52984,554372.3,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Broadway,"BW01 CHARCOAL",506268.81000000006,Organic,"Yarn Dyed","Multi Level Loop",PVC,,,,,,
Esta,"ES05 ASH",464154.31,Geometric,"Yarn Dyed","Multi Level Loop & Tip Shear","PVC Free",,,,,,
Shalimar,sha6122,406677,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
"geff Laminate",GGLF006,385380.86999999994,Teak,,,,"Laminate Flooring",Teak,"Sawn Teak",,,
Broadway,"BW05 LAGOON",377910.1399999998,Organic,"Yarn Dyed","Multi Level Loop",PVC,,,,,,
Esta,"ES06 MOCHA",343027.8999999999,Geometric,"Yarn Dyed","Multi Level Loop & Tip Shear","PVC Free",,,,,,
Remix,AZ52829,340075.30000000005,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"City Star","CS01 RED",299280.89999999997,Stripes,"Solution Dyed","Multi Level Loop","PVC Free",,,,,,
"Color Cube","CC09 GRASS",297031.9599999996,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
"City Glaze","CG02 CANE",279252.73,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Leedon,"LN05 GREY",274027.8899999999,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
"Armstrong Medintech Plus",K811-524,270451.8299999999,Green,,,,"Vinyl Flooring",Green,Moss,,,
Safari,Y47162,231409.2,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca62,230851.57,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Armstrong Medintech Plus",K811-212,212844.36999999994,Champagne,,,,"Vinyl Flooring",Champagne,"Carthamus Champagne",,,
"Color Cube","CC07 OLIVE",201327.88999999998,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Tomoko,132068,192286.22999999998,"Herringbone / Chevron / Houndstooth",,,,,,,,"Curtain, Upholstery","57%Viscose, 24%Polyester & 19% Cotton"
"Armstrong Natural Creations",CW018,188621.64,Walnut,,,,"Vinyl Flooring",Walnut,"Sparrow Walnut",,,
Cobra,ca64,188291.98,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Esta,"ES09 BLACK",187447.98000000016,Geometric,"Yarn Dyed","Multi Level Loop & Tip Shear","PVC Free",,,,,,
"Plains one + 1",131951,182194.11,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Vera,"VR04 BLUE",181480.19,Organic,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Cobra,ca55,179683.09000000003,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Chimes,AZ52988,177862.41,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Plains one + 1",131943,176817,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Brushstrokes,Y47053,172982.65,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca52,158978.15,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Cobra,ca23,148572.58000000002,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Color Cube","CC01 CHARCOAL",147392.48,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
"Color Cube","CC04 WOOD",146746.08999999997,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Nashira,nai5614,143827.72,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Chimes,AZ52985,136704.34999999998,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua105,129717.25000000001,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Color Cube","CC02 GRANITE",128796.02000000003,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Jungle,jua313,127169.5,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Allure Fabrics",30400666,127061.88999999998,Embroidery,,,,,,,,Curtain,"70% Viscose - 30 % Linen - Viscose Embroidery"
Vera,"VR02 GREY",126834,Organic,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Chimes,AZ52992,121964.76000000001,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Chimes,AZ52977,119629.55,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Remix,AZ52825,117144.8,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"NOX Vinyl",GD-5120,114949.35,Oak,,,,"Vinyl Flooring",Oak,"European Oak Golden",,,
Milano,"Milano Hunter",113234.12,,,,,,,,,Upholstery,"100% Leather"
Jungle,jua224,113005.8,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Color Cube","CC06 BEIGE",111654.34999999999,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Shalimar,sha6215,110282.5,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
