Name	X	Y	geo	Address	Website	Rooms	type
Sheraton Towers Singapore Hotel	103.8364622	1.311950542	"103.8364622,1.311950542"	39 Scotts Road	http://www.sheratonsingapore.com	420	L
Four Seasons Hotel	103.8286527	1.305210226	"103.8286527,1.305210226"	190 Orchard Boulevard	http://www.fourseasons.com/singapore	255	M
The South Beach	103.8555287	1.294687026	"103.8555287,1.294687026"	30 Beach Road	http://www.thesouthbeach.com.sg	700	L
The Fullerton Hotel	103.8529704	1.286193239	"103.8529704,1.286193239"	1 Fullerton Square	http://www.fullertonhotel.com	400	L
Hotel Michael	103.8202592	1.255005803	"103.8202592,1.255005803"	8 Sentosa Gateway	http://www.rwsentosa.com	476	L
"Le Meridien Singapore, Sentosa"	103.8195576	1.253293664	"103.8195576,1.253293664"	23 Beach View	http://www.moevenpick-sentosa.com	191	M
Sofitel So Singapore	103.8496548	1.279921977	"103.8496548,1.279921977"	35 Robinson Road	http://www.sofitel.com	134	M
One Farrer Hotel & Spa	103.8538422	1.312756687	"103.8538422,1.312756687"	1 Farrer Park Station Road	http://www.onefarrer.com	243	M
Big Hotel	103.8515065	1.300916403	"103.8515065,1.300916403"	200 Middle Road	http://www.bighotel.com	308	L
"Shangri-La's Rasa Sentosa Resort & Spa, Singapore"	103.8097979	1.257802059	"103.8097979,1.257802059"	101 Siloso Road Sentosa	http://www.shangri-la.com	454	L
Grand Park Orchard	103.836202	1.303105268	"103.836202,1.303105268"	270 Orchard Road	http://www.parkhotelgroup.com/gpor/	308	L
Hotel Fort Canning	103.8453621	1.295812677	"103.8453621,1.295812677"	11 Canning Walk	http://www.hfcsingapore.com	86	S
"The Ritz-Carlton, Millenia Singapore"	103.8600473	1.290718319	"103.8600473,1.290718319"	7 Raffles Avenue	http://www.ritzcarlton.com/en/Properties/Singapore/Default.htm	608	L
The Fullerton Bay Hotel	103.8534802	1.283966678	"103.8534802,1.283966678"	80 Collyer Quay	http://www.fullertonbayhotel.com	98	S
The Regent Singapore	103.8248974	1.304673228	"103.8248974,1.304673228"	1 Cuscaden Road	http://www.regenthotels.com/EN/Singapore	440	L
InterContinental Singapore	103.854867	1.298469654	"103.854867,1.298469654"	80 Middle Road	http://www.ihg.com/intercontinental/hotels/gb/en/singapore/sinhb/hoteldetail	403	L
Sofitel Singapore Sentosa Resort & Spa	103.8275257	1.245060096	"103.8275257,1.245060096"	2 Bukit Manis Road	http://www.sofitel.com/9474	215	M
Naumi	103.8551817	1.2958681	"103.8551817,1.2958681"	41 Seah Street	http://www.naumihotel.com	73	S
Ascott Singapore Raffles Place	103.8515444	1.282084557	"103.8515444,1.282084557"	2 Finlayson Green	http://www.the-ascott.com	146	M
Crowne Plaza Changi Airport	103.9879472	1.358680347	"103.9879472,1.358680347"	75 Airport Boulevard	http://www.ihg.com/crowneplaza/hotels/us/en/singapore/sincp/hoteldetail	563	L
Grand Park City Hall	103.8501239	1.292628949	"103.8501239,1.292628949"	10 Coleman Street	http://www.parkhotelgroup.com	329	L
"Amara Sanctuary Resort, Sentosa"	103.8220166	1.252128005	"103.8220166,1.252128005"	1 Larkhill Road	http://www.amarasanctuary.com	140	M
W Singapore Sentosa Cove Hotel	103.8424281	1.246165494	"103.8424281,1.246165494"	21 Ocean Way	http://www.wsingaporesentosacove.com	240	M
Raffles Hotel Singapore	103.8540683	1.295097417	"103.8540683,1.295097417"	1 Beach Road	http://www.raffleshotel.com	103	M
The Pan Pacific Hotel Singapore	103.8588044	1.292372906	"103.8588044,1.292372906"	7 Raffles Boulevard	https://www.panpacific.com/en/hotels-resorts/singapore/marina.html	790	L
Hotel Vagabond	103.8583028	1.307019139	"103.8583028,1.307019139"	39 Syed Alwi Road	http://hotelvagabondsingapore.com/	41	S
Singapore Marriott Tang Plaza Hotel	103.8328767	1.305108979	"103.8328767,1.305108979"	320 Orchard Road	http://www.singaporemarriott.com	393	L
St. Regis Hotel Singapore	103.8260535	1.305661657	"103.8260535,1.305661657"	29 Tanglin Road	http://www.stregis.com/singapore	299	M
The Westin Singapore	103.8507952	1.278307303	"103.8507952,1.278307303"	12 Marina View Asia Square Tower 2	http://www.thewestinsingapore.com	305	L
