Hotel,Stars,Rooms,Website,Telephone,Manager
Carlton Hotel,5,940,http://www.carltonhotel.sg,,
Rendezvous Hotel Singapore,3,,http://www.stayfareast.com,,
InterContinental Singapore,5,403,http://www.ihg.com/intercontinental/hotels/gb/en/singapore/sinhb/hoteldetail,,
V Hotel Bencoolen,5,270,http://www.vhotel.sg,,
Hard Rock Hotel,3,,http://www.rwsentosa.com,,
Sheraton Towers Singapore Hotel,5,420,http://www.sheratonsingapore.com,,
Hotel 81 - Balestier,3,,http://www.hotel81.com.sg,,
Marina Bay Sands Singapore,5,2560,http://www.marinabaysands.com,,
"Amara Sanctuary Resort, Sentosa",5,140,http://www.amarasanctuary.com,,
Hotel 81 - Cherry,3,,http://www.hotel81.com.sg,,
Hotel 81 - Lavender,3,,http://www.hotel81.com.sg,,
Hilton Singapore,5,421,http://www.singapore.hilton.com,67372233,Allain Mahillon
Orchard Hotel Singapore,5,656,http://www.millenniumhotels.com.sg,,
"PARKROYAL on Beach Road, Singapore",3,,http://www.parkroyalhotels.com,,
Hotel 81 - Rochor,3,,http://www.hotel81.com.sg,62988181,
Hotel 81 - Orchid,3,,http://www.hotel81.com.sg,68468181,
Hotel 81 - Hollywood,3,,http://www.hotel81.com.sg,63838181,
Fragrance Hotel - Oasis,3,,http://www.fragrancehotel.com,,
Crowne Plaza Changi Airport,5,563,http://www.ihg.com/crowneplaza/hotels/us/en/singapore/sincp/hoteldetail,,
Park Regis Singapore,3,,http://www.parkregissingapore.com,,
Mandarin Orchard Singapore,5,1077,http://www.meritushotels.com,,
Value Hotel - Balestier,3,,http://www.valuehotel.com.sg,,
Park Hotel Alexandra,3,,http://www.parkhotelgroup.com/alexandra/default-en.html,,
Holiday Inn Singapore Atrium,5,512,http://www.holiday-inn.com/atrium-sin,,
Grand Park City Hall,5,329,http://www.parkhotelgroup.com,63363456,Lakshman Perere
Aqueen Heritage Hotel - Joo Chiat,3,,http://www.aqueenhotels.com,,
Hotel Boss,3,,http://www.hotelboss.sg,,
The Fullerton Hotel,5,400,http://www.fullertonhotel.com,,
Equarius Hotel,3,,http://www.rwsentosa.com,,
Holiday Inn Express Singapore Orchard Road,3,,,,
Value Hotel - Thomson,3,,http://www.valuehotel.com.sg,,
V Hotel Lavender,3,,http://www.vhotel.sg,,
Conrad Centennial Singapore,5,507,,6334888,Heinrich Grafe
"Shangri-La's Rasa Sentosa Resort & Spa, Singapore",5,454,http://www.shangri-la.com,,
"Four Points by Sheraton Singapore, Riverview",5,476,http://www.fourpointssingaporeriverview.com,,
Peninsula.Excelsior Hotel,5,600,http://www.ytchotels.com.sg,,
The Fragrance Hotel,3,,http://www.fragrancehotel.com,,
Wangz Hotel,3,,http://www.wangzhotel.com,,
One Farrer Hotel & Spa,5,243,http://www.onefarrer.com,,
"Swissotel The Stamford, Singapore",5,1261,http://www.swissotel.com/hotels/singapore-stamford/,,
"The Ritz-Carlton, Millenia Singapore",5,608,http://www.ritzcarlton.com/en/Properties/Singapore/Default.htm,,
Shangri-La Hotel,5,747,http://www.shangri-la.com,,
Hotel Kai,3,,http://www.hotelkai.com,,
Hotel Miramar Singapore,3,,http://www.miramar.com.sg,67330222,K T Lim (MD)
Carlton City Hotel Singapore,3,,http://www.carltoncity.sg,,
The Claremont,3,,http://www.claremont.com.sg,,
Grand Park Orchard,5,308,http://www.parkhotelgroup.com/gpor/,66038888,Darren Ware
Holiday Inn Singapore Orchard City Centre,3,,http://www.holidayinn.com/hotels/us/en/singapore/sinpv/hoteldetail,,
Novotel Singapore Clarke Quay,3,,http://www.novotel.com,,
Crockfords Tower,3,,http://www.rwsentosa.com,,
Grand Mercure Roxy Hotel,5,576,http://www.grandmercureroxy.com.sg,,
85 Beach Garden Hotel,3,,http://www.85bghotel.com,,
Hotel 81 - Sakura,3,,http://www.hotel81.com.sg,62478181,
The Scarlet Hotel,3,,http://www.thescarlethotels.com,,
AQUEEN - Jalan Besar Hotel,3,,http://www.aqueenhotels.com,,
Hotel Jen Orchardgateway Singapore,3,,http://www.hoteljen.com,,
M Hotel Singapore,3,,http://www.m-hotel.com,,
Fairmont Singapore,5,769,http://www.fairmont.com/singapore,,
Hotel Clover 33 Jalan Sultan,3,,http://www.hotelclover.com,,
Ramada Singapore at Zhongshan Park,3,,http://www.ramada-dayshotelsingapore.com,,
Goodwood Park Hotel,5,233,http://www.goodwoodparkhotel.com,,
Robertson Quay Hotel,3,,http://www.robertsonquayhotel.com.sg,,
The South Beach,5,800,http://www.thesouthbeach.com.sg,,
Village Hotel Bugis,3,,http://www.stayfareast.com/en/hotels/village-hotel-bugis.aspx,,
"Capri By Fraser Changi City, Singapore",3,,,,
Village Hotel Albert Court,3,,http://www.stayfareast.com/en/hotels/village-hotel-albert-court.aspx,,
Four Seasons Hotel,5,255,http://www.fourseasons.com/singapore,,
"Oasia Hotel Downtown, Singapore",3,,http://www.stayfareast.com/en/hotels/oasia-hotel-downtown-singapore.aspx,,
Copthorne King Hotel Singapore,3,,http://www.copthornekings.com.sg,,
Singapore Marriott Tang Plaza Hotel,5,393,http://www.singaporemarriott.com,,
The Keong Saik Hotel,3,,http://www.keongsaikhotel.com.sg,,
Hotel Chancellor @ Orchard,3,,,,
Hotel Bencoolen,3,,http://www.hotelbencoolen.com,63360822,Ms Kay 
Naumi,5,73,http://www.naumihotel.com,,
The Regent Singapore,5,440,http://www.regenthotels.com/EN/Singapore,,
Concorde Hotel Singapore,3,,http://www.concordehotel.com.sg,67338855,Mr.Leeo Llambi
The Seacare Hotel,3,,http://www.theseacarehotel.com.sg,,
Dorsett Singapore,3,,http://www.dorsetthotels.com/singapore,,
Premier Inn,3,,,,
Sofitel So Singapore,5,134,http://www.sofitel.com,,
The Westin Singapore,5,305,http://www.thewestinsingapore.com,,
Orchard Parade Hotel,3,,http://www.stayfareast.com.sg,,
Holiday Inn Express Singapore Katong,3,,,,
The Southbridge Hotel,3,,http://www.thesouthbridgehotel.com,,
Amara Singapore,3,,http://www.amarahotels.com,,
Hotel 81 - Geylang,3,,http://www.hotel81.com.sg,,
York Hotel,3,,http://www.yorkhotel.com.sg,,
Village Hotel Changi,3,,http://www.stayfareast.com/en/hotels/village-hotel-changi.aspx,,
Royal Plaza,5,511,http://www.royalplaza.com.sg,,
PARKROYAL on Kitchener Road,5,534,http://www.parkroyalhotels.com,,
The Quincy Hotel,3,,http://www.quincy.com.sg,,
Pan Pacific Orchard,5,206,http://www.panpacific.com/orchard.html,,
Studio M Hotel,3,,http://www.millenniumhotels.com.sg/studiomhotelsingapore,,
Park Hotel Clarke Quay,3,,http://www.parkhotelgroup.com,,
Hotel Fort Canning,5,86,http://www.hfcsingapore.com,,
Raffles Hotel Singapore,5,103,http://www.raffleshotel.com,,
Hotel 81 - Star,3,,http://www.hotel81.com.sg,67488181,
Grand Hyatt Singapore,5,677,http://www.singapore.grand.hyatt.com,,
Hotel 81 - Joy,3,,http://www.hotel81.com.sg,,
The Noble Hotel,3,,http://www.thenoblehotel.com,,
Changi Cove,3,,http://www.changicove.com,,
The Club,3,,http://www.theclub.com.sg,,
Hotel Michael,5,476,http://www.rwsentosa.com,,
Furama Riverfront Singapore,5,605,http://www.furama.com/riverfront/,,
Quality Hotel Marlow,3,,http://www.qualityhotelmarlow.com.sg,,
The Elizabeth,3,,http://www.stayfareast.com.sg,,
Village Hotel Katong,3,,http://www.stayfareast.com/en/hotels/village-hotel-katong.aspx,,
PARKROYAL on Pickering,3,,http://www.parkroyalhotels.com,,
The Fullerton Bay Hotel,5,98,http://www.fullertonbayhotel.com,,
Ascott Singapore Raffles Place,5,146,http://www.the-ascott.com,,
Orchid Hotel,3,,http://www.orchidhotel.com.sg,,
Hotel 81 - Elegance,3,,http://www.hotel81.com.sg,,
Marina Mandarin,5,575,http://www.meritushotels.com/marina-mandarin-singapore/,,
"Le Meridien Singapore, Sentosa",5,191,http://www.moevenpick-sentosa.com,,
Hotel Re! @ Pearl's Hill,3,,http://www.hotelre.com.sg,,
W Singapore Sentosa Cove Hotel,5,240,http://www.wsingaporesentosacove.com,,
The Pan Pacific Hotel Singapore,5,790,https://www.panpacific.com/en/hotels-resorts/singapore/marina.html,,
Hotel Grand Pacific,3,,http://www.hotelgrandpacific.com.sg,,
Grand Copthorne Waterfront Hotel Singapore,5,574,http://www.grandcopthorne.com.sg,,
RELC International Hotel,3,,http://www.relcih.com.sg,,
The Ardennes Hotel,3,,http://www.theardenneshotel.com.sg,,
Hotel Grand Central,3,,,6737 9944 / 6733 6922,
