Hotel,Stars,Rooms,Website,Telephone,Manager
Big Hotel,5,308,http://www.bighotel.com,,
Sofitel Singapore Sentosa Resort & Spa,5,215,http://www.sofitel.com/9474,,
Hotel Vagabond,5,41,http://hotelvagabondsingapore.com/,,
St. Regis Hotel Singapore,5,299,http://www.stregis.com/singapore,,
"Capella Hotel, Singapore",5,112,http://www.capellasingapore.com,,
Ibis Singapore on Bencoolen,5,538,http://www.ibishotel.com/6557,,
"Mandarin Oriental, Singapore",5,527,,,
"Swissotel Merchant Court,Singapore",5,476,http://www.swissotel.com/singapore-merchantcourt,,
5footway.inn Project Chinatown 4,3,,http://www.5footwayinn.com,,
5footway.inn Project Boat Quay,3,,http://www.5footwayinn.com,,
5footway.inn Project Bugis,3,,http://www.5footwayinn.com,,
5footway.inn Project Chinatown 1,3,,http://www.5footwayinn.com,,
5footway.inn Project Ann Siang,3,,http://www.5footwayinn.com,,
5footway.inn Project Chinatown 2,3,,http://www.5footwayinn.com,,
5footway.inn Project Chinatown 3,3,,http://www.5footwayinn.com,,
Fragrance Hotel - Balestier,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Bugis,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Classic,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Crystal,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Emerald,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Imperial,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Kovan,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Lavender,3,,http://www.fragrancehotel.com,62947888,
Fragrance Hotel - Ocean View,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Pearl,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Riverside,3,,http://www.fragrancehotel.com,,
Fragrance Hotel - Rose,3,,http://www.fragrancehotel.com,62547888,
Fragrance Hotel - Royal,3,,http://www.fragrancehotel.com,62737888,
Fragrance Hotel - Ruby,3,,http://www.fragrancehotel.com,68413888,
Fragrance Hotel - Sapphire,3,,http://www.fragrancehotel.com,68414888,
Fragrance Hotel - Selegie,3,,http://www.fragrancehotel.com,63377888,
Fragrance Hotel - Sunflower,3,,http://www.fragrancehotel.com,68467888,
Fragrance Hotel - Viva,3,,http://www.fragrancehotel.com,62785888,
Fragrance Hotel - Waterfront,3,,http://www.fragrancehotel.com,67779888,
Shophouse The Social Hostel,3,,http://www.shophousehostel.com,,
60's Hostel,3,,http://www.60shostel.com.sg,,
7 Wonders Hostel,3,,,,
Five Stones Hostel at Beach Road,3,,http://www.fivestoneshostel.com,,
The Green Kiwi Backpacker Hostel,3,,http://www.greenkiwi.com.sg,,
Footprints Hostel,3,,http://www.footprintshostel.com.sg,,
Gap Year Hostel,3,,http://www.gapyearhostel.com,,
Hawaii Hostel,3,,,,
Kawan Hostel,3,,,,
Lotus Hostel,3,,http://www.bpkers.com,,
Moni Gallery Hostel,3,,http://www.monigalleryhostel.com,,
Superb Hostel,3,,http://www.superhostel.com,,
Meadows Hostel,3,,,,
Mercury Backpackers' Hostel,3,,http://www.mercurypac.com,,
MKS Backpackers' Hostel,3,,,,
Mori Hostel,3,,,,
Wink Hostel,3,,http://www.winkhostel.com,,
Betel Box Backpackers Hostel,3,,http://www.betelbox.com,,
Bunc Hostel,3,,http://www.bunchostel.com,,
