Year,Month,Product_Grp,Sales,ID,Sector
2011,Jan,Wallcovering,-800.5,40,Residential
2011,Jan,Wallcovering,-180,41,Residential
2011,Jan,Wallcovering,-160,42,Residential
2011,Jan,Wallcovering,-1971,43,Residential
2011,Jan,Wallcovering,-5556.05,44,Hospitality
2011,Jan,Wallcovering,204,51,Residential
2011,Jan,Wallcovering,3277,55,Residential
2011,Jan,Wallcovering,609,56,Residential
2011,Jan,Wallcovering,-203,57,Residential
2011,Jan,Wallcovering,1035.32,58,Residential
2011,Jan,Wallcovering,370,83,Residential
2011,Jan,Wallcovering,237.6,159,Residential
2011,Jan,Carpet,1436,172,Residential
2011,Jan,Wallcovering,7250,198,Hospitality
2011,Jan,Wallcovering,-1423,248,Hospitality
2011,Jan,Flooring,-381.19,256,Residential
2011,Jan,Wallcovering,-6520.4,270,Residential
2011,Jan,Wallcovering,-250,284,Residential
2011,Jan,Wallcovering,6250,314,Hospitality
2011,Jan,Wallcovering,4300,315,Hospitality
2011,Jan,Carpet,1612.5,316,Hospitality
2011,Jan,Wallcovering,3520,365,Hospitality
2011,Jan,Wallcovering,3520,366,Hospitality
2011,Jan,Wallcovering,700,442,Residential
2011,Jan,Wallcovering,200,443,Residential
2011,Jan,Wallcovering,-200,444,Residential
2011,Jan,Wallcovering,315,445,Residential
2011,Jan,Carpet,899,571,Hospitality
2011,Jan,Carpet,-899,572,Hospitality
2011,Jan,Flooring,1190.97,618,Residential
2011,Jan,Wallcovering,100,624,Residential
2011,Jan,Flooring,300,625,Residential
2011,Jan,Flooring,-1590.97,626,Residential
2011,Jan,Wallcovering,525,627,Residential
2011,Jan,Wallcovering,75,628,Residential
2011,Jan,Wallcovering,300,629,Residential
2011,Jan,Wallcovering,300,630,Residential
2011,Jan,Wallcovering,-300,631,Residential
2011,Jan,Wallcovering,650,632,Residential
2011,Jan,Wallcovering,-75,633,Residential
2011,Jan,Wallcovering,2350,634,Residential
2011,Jan,Wallcovering,450,635,Residential
2011,Jan,Wallcovering,360,636,Residential
2011,Jan,Wallcovering,-121.5,637,Residential
2011,Jan,Wallcovering,260,638,Residential
2011,Jan,Wallcovering,330,641,Residential
2011,Jan,Wallcovering,-33,642,Residential
2011,Jan,Wallcovering,560,643,Residential
2011,Jan,Wallcovering,420,644,Residential
2011,Jan,Wallcovering,490,645,Residential
