Sales_Code,Item_number,Product,Year_Ori,Month_Ori,Year,Month,Item_Type,Sales,Sector,Hotel,Residence,Property,Growth
704,131939,Fabric,2011,Apr,2011,APR,Material,963.05,Hospitality,Carlton Hotel,,CARLTON HOTEL,-97
721,131939,Fabric,2011,Aug,2011,AUG,Material,140,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-89
981,131939,Fabric,2011,Feb,2011,FEB,Material,9,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-47
981,131939,Fabric,2011,Feb,2011,FEB,Material,117,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-78
704,131939,Fabric,2011,Jun,2011,JUN,Material,126,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-9
704,131939,Fabric,2011,Jun,2011,JUN,Material,140,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-67
976,131939,Fabric,2011,Jun,2011,JUN,Material,1311,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-1
992,131939,Fabric,2011,May,2011,MAY,Material,71.5,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-14
992,131939,Fabric,2011,May,2011,MAY,Material,83.2,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,55
992,131939,Fabric,2011,May,2011,MAY,Material,145.6,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,91
992,131939,Fabric,2011,May,2011,MAY,Material,286,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,96
992,131939,Fabric,2011,May,2011,MAY,Material,500.5,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,0
992,131939,Fabric,2011,May,2011,MAY,Material,572,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-35
992,131939,Fabric,2011,May,2011,MAY,Material,572,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,37
992,131939,Fabric,2011,May,2011,MAY,Material,572,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,87
992,131939,Fabric,2011,May,2011,MAY,Material,2158,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-83
992,131939,Fabric,2011,May,2011,MAY,Material,4690.4,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,78
992,131939,Fabric,2011,May,2011,MAY,Material,8106.8,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-39
704,131939,Fabric,2011,Nov,2011,NOV,Material,3064.25,Hospitality,Carlton Hotel,,CARLTON HOTEL,99
732,131939,Fabric,2012,Jun,2012,JUN,Material,564,Residential,,DOMUS,DOMUS,30
704,131940,Fabric,2011,Apr,2011,APR,Material,963.05,Hospitality,Carlton Hotel,,CARLTON HOTEL,2
981,131940,Fabric,2011,Feb,2011,FEB,Material,140,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-51
981,131940,Fabric,2011,Feb,2011,FEB,Material,560,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-26
981,131940,Fabric,2011,Feb,2011,FEB,Material,868,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,95
704,131940,Fabric,2011,Nov,2011,NOV,Material,2976.7,Hospitality,Carlton Hotel,,CARLTON HOTEL,-72
976,131940,Fabric,2013,Jun,2013,JUN,Material,567,Residential,,HILLCREST ARCADIA,HILLCREST ARCADIA,-78
721,131940,Fabric,2013,Sep,2013,SEP,Material,9,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-38
721,131940,Fabric,2013,Sep,2013,SEP,Material,21,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,79
938,131940,Fabric,2015,Dec,2015,DEC,Material,1330,Residential,,CAMELOT BY-THE-WATER,CAMELOT BY-THE-WATER,82
737,131941,Fabric,2012,Oct,2012,OCT,Material,142.5,Residential,,BELLE VUE RESIDENCES,BELLE VUE RESIDENCES,-45
776,131941,Fabric,2013,Feb,2013,FEB,Material,568,Residential,,DUCHESS RESIDENCES,DUCHESS RESIDENCES,-54
721,131941,Fabric,2013,Feb,2013,FEB,Material,1330,Residential,,SENTOSA COVE,SENTOSA COVE,67
721,131941,Fabric,2013,Feb,2013,FEB,Material,3325,Residential,,SENTOSA COVE,SENTOSA COVE,-40
721,131941,Fabric,2013,Feb,2013,FEB,Material,3458,Residential,,SENTOSA COVE,SENTOSA COVE,83
721,131941,Fabric,2013,Feb,2013,FEB,Material,5320,Residential,,SENTOSA COVE,SENTOSA COVE,96
721,131941,Fabric,2013,Feb,2013,FEB,Material,5586,Residential,,SENTOSA COVE,SENTOSA COVE,53
721,131941,Fabric,2013,Oct,2013,OCT,Material,10.44,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,88
737,131941,Fabric,2016,Sep,2016,SEP,Material,976,Hospitality,Hard Rock Hotel,,HARD ROCK HOTEL,24
719,131942,Fabric,2011,Apr,2011,APR,Material,832,Hospitality,Sheraton Towers Singapore Hotel,,SHERATON TOWERS SINGAPORE HOTEL,5
719,131942,Fabric,2011,Apr,2011,APR,Material,832,Hospitality,Sheraton Towers Singapore Hotel,,SHERATON TOWERS SINGAPORE HOTEL,-80
726,131942,Fabric,2011,Aug,2011,AUG,Material,290,Residential,,THE HILLSIDE,THE HILLSIDE,-84
721,131942,Fabric,2011,Aug,2011,AUG,Material,560,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-84
721,131942,Fabric,2011,Aug,2011,AUG,Material,644,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,72
981,131942,Fabric,2011,Feb,2011,FEB,Material,12,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-19
981,131942,Fabric,2011,Feb,2011,FEB,Material,144,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-51
981,131942,Fabric,2011,Feb,2011,FEB,Material,9,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-47
981,131942,Fabric,2011,Feb,2011,FEB,Material,9,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-24
981,131942,Fabric,2011,Feb,2011,FEB,Material,81,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-19
981,131942,Fabric,2011,Feb,2011,FEB,Material,135,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,70
981,131942,Fabric,2011,Feb,2011,FEB,Material,324,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,18
986,131942,Fabric,2011,Feb,2011,FEB,Material,542.3,Residential,,THE ESTA,THE ESTA,-75
721,131942,Fabric,2011,Jan,2011,JAN,Material,96,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-70
721,131942,Fabric,2011,Jan,2011,JAN,Material,180,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-38
721,131942,Fabric,2011,Jan,2011,JAN,Material,336,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-8
955,131942,Fabric,2011,Jul,2011,JUL,Material,135,Residential,,THE ARTE,THE ARTE,-30
955,131942,Fabric,2011,Jul,2011,JUL,Material,135,Residential,,THE ARTE,THE ARTE,-31
955,131942,Fabric,2011,Jul,2011,JUL,Material,135,Residential,,THE ARTE,THE ARTE,63
726,131942,Fabric,2011,Jul,2011,JUL,Material,493,Residential,,CARISSA PARK CONDOMINIUM,CARISSA PARK CONDOMINIUM,-36
704,131942,Fabric,2011,Jun,2011,JUN,Material,960,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,52
735,131942,Fabric,2011,Nov,2011,NOV,Material,210,Residential,,THE RIVERVALE,THE RIVERVALE,51
726,131942,Fabric,2011,Oct,2011,OCT,Material,300,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,33
726,131942,Fabric,2011,Oct,2011,OCT,Material,300,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,24
726,131942,Fabric,2011,Oct,2011,OCT,Material,360,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,-90
726,131942,Fabric,2011,Oct,2011,OCT,Material,360,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,55
726,131942,Fabric,2011,Oct,2011,OCT,Material,540,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,41
721,131942,Fabric,2012,Dec,2012,DEC,Material,899,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-65
721,131942,Fabric,2012,Dec,2012,DEC,Material,2281.05,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-81
721,131942,Fabric,2012,Dec,2012,DEC,Material,3844.34,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-8
721,131942,Fabric,2012,Dec,2012,DEC,Material,10016.66,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-10
721,131942,Fabric,2012,May,2012,MAY,Material,990,Hospitality,Hotel 81 - Balestier,,HOTEL 81 - BALESTIER,-47
976,131942,Fabric,2012,May,2012,MAY,Material,510.4,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-72
976,131942,Fabric,2012,May,2012,MAY,Material,510.4,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-41
955,131942,Fabric,2013,Apr,2013,APR,Material,145,Residential,,THE QUAYSIDE,THE QUAYSIDE,-1
721,131942,Fabric,2013,Feb,2013,FEB,Material,32.3,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,55
721,131942,Fabric,2013,Feb,2013,FEB,Material,816,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-68
721,131942,Fabric,2013,Feb,2013,FEB,Material,1200,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-11
721,131942,Fabric,2013,Feb,2013,FEB,Material,1700,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-67
976,131942,Fabric,2013,Feb,2013,FEB,Material,576,Residential,,MADISON RESIDENCES,MADISON RESIDENCES,45
721,131942,Fabric,2013,Feb,2013,FEB,Material,10520,Residential,,SENTOSA COVE,SENTOSA COVE,63
713,131942,Fabric,2014,Aug,2014,AUG,Material,144,Residential,,THE SEA VIEW,THE SEA VIEW,72
732,131942,Fabric,2016,Apr,2016,APR,Material,1332,Residential,,CLEMENTI PARK,CLEMENTI PARK,73
721,131943,Fabric,2014,Apr,2014,APR,Material,15,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-56
721,131943,Fabric,2014,Apr,2014,APR,Material,50,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-52
