Sale_Code,Item_number,Product,Year_Ori,Month_Ori,Year,Month,Item_Type,Sales,Sector,Hotel,Residence,Property,Growth_old,Growth
704,131939,Fabric,2011,Apr,2011,APR,Material,963.05,Hospitality,Carlton Hotel,,CARLTON HOTEL,-97,-9.7
721,131939,Fabric,2011,Aug,2011,AUG,Material,140,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-89,-8.9
981,131939,Fabric,2011,Feb,2011,FEB,Material,9,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-47,-4.7
981,131939,Fabric,2011,Feb,2011,FEB,Material,117,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-78,-7.8
704,131939,Fabric,2011,Jun,2011,JUN,Material,126,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-9,-0.9
704,131939,Fabric,2011,Jun,2011,JUN,Material,140,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-67,-6.7
976,131939,Fabric,2011,Jun,2011,JUN,Material,1311,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-1,-0.1
992,131939,Fabric,2011,May,2011,MAY,Material,71.5,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-14,-1.4
992,131939,Fabric,2011,May,2011,MAY,Material,83.2,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,55,5.5
992,131939,Fabric,2011,May,2011,MAY,Material,145.6,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,91,9.1
992,131939,Fabric,2011,May,2011,MAY,Material,286,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,96,9.6
992,131939,Fabric,2011,May,2011,MAY,Material,500.5,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,0,0
992,131939,Fabric,2011,May,2011,MAY,Material,572,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-35,-3.5
992,131939,Fabric,2011,May,2011,MAY,Material,572,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,37,3.7
992,131939,Fabric,2011,May,2011,MAY,Material,572,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,87,8.7
992,131939,Fabric,2011,May,2011,MAY,Material,2158,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-83,-8.3
992,131939,Fabric,2011,May,2011,MAY,Material,4690.4,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,78,7.8
992,131939,Fabric,2011,May,2011,MAY,Material,8106.8,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-39,-3.9
704,131939,Fabric,2011,Nov,2011,NOV,Material,3064.25,Hospitality,Carlton Hotel,,CARLTON HOTEL,99,9.9
732,131939,Fabric,2012,Jun,2012,JUN,Material,564,Residential,,DOMUS,DOMUS,30,3
704,131940,Fabric,2011,Apr,2011,APR,Material,963.05,Hospitality,Carlton Hotel,,CARLTON HOTEL,2,0.2
981,131940,Fabric,2011,Feb,2011,FEB,Material,140,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-51,-5.1
981,131940,Fabric,2011,Feb,2011,FEB,Material,560,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-26,-2.6
981,131940,Fabric,2011,Feb,2011,FEB,Material,868,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,95,9.5
704,131940,Fabric,2011,Nov,2011,NOV,Material,2976.7,Hospitality,Carlton Hotel,,CARLTON HOTEL,-72,-7.2
976,131940,Fabric,2013,Jun,2013,JUN,Material,567,Residential,,HILLCREST ARCADIA,HILLCREST ARCADIA,-78,-7.8
721,131940,Fabric,2013,Sep,2013,SEP,Material,9,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-38,-3.8
