project_name,developer,street_name,existing,latitude,longitude
THE SAIL @ MARINA BAY,,,Y,1.280925,103.852694
HILLCREST ARCADIA,,,Y,1.334934,103.80938
BELLE VUE RESIDENCES,,,Y,1.352083,103.819836
DUCHESS RESIDENCES,,,Y,1.352083,103.819836
SENTOSA COVE,,,Y,1.244819,103.841058
THE HILLSIDE,,,Y,1.357714,103.877382
THE ORCHARD RESIDENCES,,,Y,1.303895,103.831941
THE ARTE,,,Y,1.352083,103.819836
CLEMENTI PARK,,,Y,1.313547,103.772215
GOODWOOD RESIDENCE,,,Y,1.352083,103.819836
WOODHAVEN,,,Y,1.352083,103.819836
ELLIOT AT THE EAST COAST,,,Y,1.352083,103.819836
THE COUNTRYSIDE,,,Y,1.389946,103.839591
ASPEN HEIGHTS,,,Y,1.352083,103.819836
EUHABITAT,OPH Marymount Ltd/Transurban Properties Pte Ltd,Jalan Eunos,Y,1.352083,103.819836
HILLCREST PARK,,,Y,1.331864,103.80784
PROXIMO,,,Y,1.352083,103.819836
KOVAN RESIDENCES,,,Y,1.361154,103.885038
DUKES RESIDENCE,,,Y,1.352083,103.819836
NASSIM PARK RESIDENCES,,,Y,1.352083,103.819836
THE TRILLIUM,,,Y,1.352083,103.819836
CAIRNHILL RESIDENCES,,,Y,1.308186,103.838402
THE OCEANFRONT @ SENTOSA COVE,,,Y,1.244819,103.841058
VARSITY PARK CONDOMINIUM,,,Y,1.352083,103.819836
OEI TIONG HAM PARK,,,Y,1.315039,103.792787
THE PARC CONDOMINIUM,,,Y,1.352083,103.819836
D' DALVEY,,,Y,1.314972,103.820775
CLOVER BY THE PARK,,,Y,1.352083,103.819836
THE FOLIAGE,,,Y,1.352083,103.819836
THE RAINTREE,,,Y,1.352083,103.819836
KOVAN MELODY,,,Y,1.361154,103.885038
DAHLIA PARK CONDOMINIUM,,,Y,1.352083,103.819836
THE SEAFRONT ON MEYER,,,Y,1.352083,103.819836
FLORIDIAN,,,Y,1.356552,103.827184
WATERFRONT WAVES,,,Y,1.338124,103.930079
ZENITH,,,Y,1.352083,103.819836
THE VERVE,,,Y,1.304613,103.852001
CASA MEYFORT,,,Y,1.352083,103.819836
RIVIERA RESIDENCES,,,Y,1.352083,103.819836
MARINA BAY SUITES,,,Y,1.282848,103.860929
MELVILLE PARK,,,Y,1.352083,103.819836
CANBERRA RESIDENCES,,,Y,1.458099,103.822242
LAGOON VIEW,,,Y,1.310245,103.932586
AMBER RESIDENCES,,,Y,1.352083,103.819836
THE INTERLACE,,,Y,1.288174,103.805375
WATERBANK AT DAKOTA,,,Y,1.352083,103.819836
MAPLEWOODS,,,Y,1.352083,103.819836
THE MINTON,,,Y,1.349957,103.881638
THE SHORE RESIDENCES,,,Y,1.352083,103.819836
HILLTOPS,,,Y,1.311378,103.774406
AALTO,,,Y,1.352083,103.819836
WATERMARK ROBERTSON QUAY,,,Y,1.290832,103.838023
RV RESIDENCES,,,Y,1.352083,103.819836
THE TROPICA,,,Y,1.349138,103.92798
THE ROCHESTER,,,Y,1.305998,103.788644
ARDMORE PARK,,,Y,1.309024,103.828968
HILLCREST VILLA,,,Y,1.352083,103.819836
CAMDEN PARK,,,Y,1.328998,103.814661
OPERA ESTATE,,,Y,1.319069,103.924247
THE GALE,,,Y,1.352083,103.819836
YONG AN PARK,,,Y,1.352083,103.819836
THE SENSORIA,,,Y,1.352083,103.819836
THOMSON THREE,United Venture Development (Thomson) Pte Ltd,Bright Hill Drive,Y,1.376071,103.832123
THE GARDENS AT BISHAN,,,Y,1.364998,103.830735
RIS GRANDEUR,,,Y,1.373772,103.940413
COSTA DEL SOL,,,Y,1.311589,103.939143
SEMBAWANG HILLS ESTATE,,,Y,1.375948,103.830428
DAKOTA RESIDENCES,,,Y,1.352083,103.819836
THE MEYERISE,,,Y,1.349957,103.881638
FERRARIA PARK CONDOMINIUM,,,Y,1.352083,103.819836
LEEDON RESIDENCE,Leedon Residence Development Pte Ltd,Leedon Heights,Y,1.352083,103.819836
BAYSHORE PARK,,,Y,1.312183,103.93931
DOUBLE BAY RESIDENCES,,,Y,1.352083,103.819836
PEBBLE BAY,,,Y,1.297188,103.872225
SERANGOON GARDEN ESTATE,,,Y,1.363707,103.866381
MERA WOODS,,,Y,1.352083,103.819836
SAVANNAH CONDOPARK,,,Y,1.352083,103.819836
PRESTIGE HEIGHTS,,,Y,1.352083,103.819836
CHANGI RISE CONDOMINIUM,,,Y,1.344621,103.963633
MI CASA,,,Y,1.352083,103.819836
CASTLE GREEN,,,Y,1.386078,103.841045
REFLECTIONS AT KEPPEL BAY,,,Y,1.266722,103.810079
LATITUDE,,,Y,1.352083,103.819836
BRADDELL VIEW,,,Y,1.344367,103.840323
ICON,,,Y,1.274935,103.845312
DOMAIN 21,,,Y,1.347685,103.843721
HILLVIEW VILLAS,,,Y,1.359532,103.763823
SANNY PARK,,,Y,1.352083,103.819836
LIVIA,,,Y,1.352083,103.819836
LAKEHOLMZ,,,Y,1.352083,103.819836
HERITAGE VIEW,,,Y,1.410224,103.834069
