collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition,Product
Armstrong Natural Creations,TP038,1318040.78,Oak,,,,Vinyl Flooring,Walnut,Roan Oak Driftwood Gray,,,,Flooring
Jungle,jua107,972002.25,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Armstrong Simpurity,K822-101,561533.85,Biege,,,,Vinyl Flooring,Biege,Light Coir,,,,Flooring
Chimes,AZ52984,554372.3,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Broadway,BW01 CHARCOAL,506268.81,Organic,Yarn Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Esta,ES05 ASH,464154.31,Geometric,Yarn Dyed,Multi Level Loop & Tip Shear,PVC Free,,,,,,,Carpet
Shalimar,sha6122,406677,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
geff Laminate,GGLF006,385380.87,Teak,,,,Laminate Flooring,Teak,Sawn Teak,,,,Flooring
Broadway,BW05 LAGOON,377910.14,Organic,Yarn Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Esta,ES06 MOCHA,343027.9,Geometric,Yarn Dyed,Multi Level Loop & Tip Shear,PVC Free,,,,,,,Carpet
Remix,AZ52829,340075.3,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
City Star,CS01 RED,299280.9,Stripes,Solution Dyed,Multi Level Loop,PVC Free,,,,,,,Carpet
Color Cube,CC09 GRASS,297031.96,Solid,Solution Dyed,Twisted Cut Pile,PVC,,,,,,,Carpet
City Glaze,CG02 CANE,279252.73,Geometric,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Leedon,LN05 GREY,274027.89,Geometric,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Armstrong Medintech Plus,K811-524,270451.83,Green,,,,Vinyl Flooring,Green,Moss,,,,Flooring
Safari,Y47162,231409.2,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca62,230851.57,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Armstrong Medintech Plus,K811-212,212844.37,Champagne,,,,Vinyl Flooring,Champagne,Carthamus Champagne,,,,Flooring
Color Cube,CC07 OLIVE,201327.89,Solid,Solution Dyed,Twisted Cut Pile,PVC,,,,,,,Carpet
Tomoko,132068,192286.23,Herringbone / Chevron / Houndstooth,,,,,,,,"Curtain, Upholstery","57%Viscose, 24%Polyester & 19% Cotton",Fabric
Armstrong Natural Creations,CW018,188621.64,Walnut,,,,Vinyl Flooring,Walnut,Sparrow Walnut,,,,Flooring
